codigo;marca
142579825;Michael Kors
102271732;GAS
245323902;Bvlgari
259213238;Parx
178481874;Police
184302885;Bvlgari
253401943;DKNY
260317820;Vishudh
263011152;Parx
223245299;PARFAIT
173703589;Police
285576033;HIGHLANDER
228992065;GAS
128189887;DKNY
166845458;Police
159302129;HIGHLANDER
182829357;Sweet Dreams
256942788;EthnoVogue
207880463;Michael Kors
219759094;Vishudh
252602111;Guess
215877230;Raymond
247453327;GAS
257943948;Guess
228338752;Police
196219291;Raymond
138252869;Homesake
185865571;PARFAIT
230252384;SHOWOFF
212838619;Guess
178007017;Kenneth Cole
289197820;Vishudh
253723374;Kenneth Cole
110923441;HIGHLANDER
236424051;DKNY
194101483;EthnoVogue
139691482;SHOWOFF
275868648;Parx
128992767;Kenneth Cole
243340136;Sweet Dreams
276575071;HIGHLANDER
263181030;HIGHLANDER
253662445;PARFAIT
197429505;Michael Kors
209873717;Roadster
145005642;SHOWOFF
116606912;Sweet Dreams
276655944;Kenneth Cole
149381148;HIGHLANDER
102211850;Police
201503977;PARFAIT
183110536;SEJ
136568849;Kenneth Cole
271981097;Roadster
107448926;Vishudh
184221314;Sweet Dreams
167769353;Bvlgari
273199173;Bvlgari
216575926;HIGHLANDER
118347573;DKNY
216787218;Guess
290024590;DKNY
226031872;Roadster
177073813;GAS
194545513;HIGHLANDER
208606239;Bvlgari
103768280;Michael Kors
123053974;GAS
229157587;Homesake
251989576;Homesake
249352633;SHOWOFF
118117031;Sweet Dreams
238056532;SHOWOFF
206435500;Parx
268512823;SHOWOFF
233867907;Raymond
165850202;Bvlgari
288606330;Raymond
216822622;Homesake
241601556;Kenneth Cole
271635950;HIGHLANDER
200347198;Sweet Dreams
120668993;Roadster
102761113;DKNY
126262716;Parx
216151030;Police
224494003;Homesake
117425632;Bvlgari
105534032;Sweet Dreams
135791442;Vishudh
231386252;Roadster
224824969;DKNY
297801819;Bvlgari
108578804;Michael Kors
210950629;HIGHLANDER
275957833;Raymond
148869870;DKNY
167925169;SEJ
102823510;YAK
101891619;Michael Kors
295703996;Homesake
176303310;Police
221217598;Bvlgari
207163056;HIGHLANDER
266662748;PARFAIT
250549828;HIGHLANDER
131992827;Sweet Dreams
257608280;Raymond
129460613;SPYKAR
119516668;Bvlgari
298333997;Homesake
132401559;Guess
252579152;GAS
195975443;Sweet Dreams
242867447;DKNY
101496632;Parx
219880825;Parx
263140375;HIGHLANDER
111625534;Roadster
194136732;SPYKAR
200447134;Guess
152548167;Bvlgari
264848103;HIGHLANDER
238207230;SHOWOFF
247923682;Homesake
200375068;Parx
245408386;SEJ
174104378;Guess
133203239;Raymond
107564424;Guess
247159764;EthnoVogue
212274713;Bvlgari
242859037;HIGHLANDER
187396764;Guess
258631091;YAK
290389438;EthnoVogue
205690301;Sweet Dreams
208832897;PARFAIT
101110349;Raymond
161243332;PARFAIT
262299542;Kenneth Cole
111369104;SEJ
147654862;HIGHLANDER
197109938;Roadster
214018156;Michael Kors
221822995;Guess
262900919;Kenneth Cole
282744069;Parx
153706026;PARFAIT
144809944;Police
119860816;GAS
205032589;SEJ
270501576;Kenneth Cole
152529570;PARFAIT
177328744;SEJ
183758860;GAS
132326014;SEJ
273268035;Vishudh
140710450;Vishudh
250463239;Michael Kors
238531040;SHOWOFF
232393088;SHOWOFF
181986099;Guess
154801375;PARFAIT
189291568;Vishudh
261362441;SHOWOFF
282038360;GAS
270236037;DKNY
194182076;HIGHLANDER
251474083;HIGHLANDER
247718641;Police
188748217;HIGHLANDER
209496608;Homesake
289135496;HIGHLANDER
133106490;Guess
165920446;SPYKAR
246482760;YAK
223446677;Parx
214951136;Sweet Dreams
260961177;EthnoVogue
257185691;EthnoVogue
217426283;Raymond
247496690;Kenneth Cole
186419264;GAS
276411073;SEJ
174507162;Roadster
246326452;Parx
242994859;Sweet Dreams
268034294;Bvlgari
239875519;SEJ
149942005;Police
239713615;Kenneth Cole
248379034;Parx
144715601;SPYKAR
269822267;Guess
112228327;Raymond
258277357;Guess
207756564;DKNY
151998347;SPYKAR
131471243;DKNY
229694678;Police
220213411;Sweet Dreams
222212790;HIGHLANDER
229364584;Homesake
122416799;Police
221861067;HIGHLANDER
133737743;Guess
250788601;Roadster
106584115;EthnoVogue
135198152;Kenneth Cole
185996457;Michael Kors
224801870;Vishudh
120575585;Roadster
141390220;Roadster
137948572;Guess
279099464;Sweet Dreams
248659990;Kenneth Cole
127985144;Guess
130801729;EthnoVogue
200539354;Sweet Dreams
286122151;Raymond
133778721;Vishudh
233907568;Roadster
260324681;Vishudh
210469892;SHOWOFF
262509963;Roadster
